caseId,caseName,majVotes,minVotes,justice,justiceName,vote
2010-020,"FEDERAL COMMUNICATIONS COMMISSION, et al., PETITIONERS v. AT&T INC. et al.",8,0,112,SAAlito,1
2010-020,"FEDERAL COMMUNICATIONS COMMISSION, et al., PETITIONERS v. AT&T INC. et al.",8,0,113,SSotomayor,1
2010-020,"FEDERAL COMMUNICATIONS COMMISSION, et al., PETITIONERS v. AT&T INC. et al.",8,0,114,EKagan,
2010-021,"VINCENT E. STAUB, PETITIONER v. PROCTOR HOSPITAL",8,0,111,JGRoberts,1
2010-021,"VINCENT E. STAUB, PETITIONER v. PROCTOR HOSPITAL",8,0,105,AScalia,1
2010-021,"VINCENT E. STAUB, PETITIONER v. PROCTOR HOSPITAL",8,0,106,AMKennedy,1
2010-021,"VINCENT E. STAUB, PETITIONER v. PROCTOR HOSPITAL",8,0,108,CThomas,4
2010-021,"VINCENT E. STAUB, PETITIONER v. PROCTOR HOSPITAL",8,0,109,RBGinsburg,1
2010-021,"VINCENT E. STAUB, PETITIONER v. PROCTOR HOSPITAL",8,0,110,SGBreyer,1
2010-021,"VINCENT E. STAUB, PETITIONER v. PROCTOR HOSPITAL",8,0,112,SAAlito,4
2010-021,"VINCENT E. STAUB, PETITIONER v. PROCTOR HOSPITAL",8,0,113,SSotomayor,1
2010-021,"VINCENT E. STAUB, PETITIONER v. PROCTOR HOSPITAL",8,0,114,EKagan,
2010-022,"DORETHA H. HENDERSON, AUTHORIZED REPRESENTATIVE OF DAVID L. HENDERSON, DECEASED, PETITIONER v. ERIC K. SHINESKI, SECRETARY OF VETERANS AFFAIRS",8,0,111,JGRoberts,1
2010-022,"DORETHA H. HENDERSON, AUTHORIZED REPRESENTATIVE OF DAVID L. HENDERSON, DECEASED, PETITIONER v. ERIC K. SHINESKI, SECRETARY OF VETERANS AFFAIRS",8,0,105,AScalia,1
2010-022,"DORETHA H. HENDERSON, AUTHORIZED REPRESENTATIVE OF DAVID L. HENDERSON, DECEASED, PETITIONER v. ERIC K. SHINESKI, SECRETARY OF VETERANS AFFAIRS",8,0,106,AMKennedy,1
2010-022,"DORETHA H. HENDERSON, AUTHORIZED REPRESENTATIVE OF DAVID L. HENDERSON, DECEASED, PETITIONER v. ERIC K. SHINESKI, SECRETARY OF VETERANS AFFAIRS",8,0,108,CThomas,1
2010-022,"DORETHA H. HENDERSON, AUTHORIZED REPRESENTATIVE OF DAVID L. HENDERSON, DECEASED, PETITIONER v. ERIC K. SHINESKI, SECRETARY OF VETERANS AFFAIRS",8,0,109,RBGinsburg,1
2010-022,"DORETHA H. HENDERSON, AUTHORIZED REPRESENTATIVE OF DAVID L. HENDERSON, DECEASED, PETITIONER v. ERIC K. SHINESKI, SECRETARY OF VETERANS AFFAIRS",8,0,110,SGBreyer,1
2010-022,"DORETHA H. HENDERSON, AUTHORIZED REPRESENTATIVE OF DAVID L. HENDERSON, DECEASED, PETITIONER v. ERIC K. SHINESKI, SECRETARY OF VETERANS AFFAIRS",8,0,112,SAAlito,1
2010-022,"DORETHA H. HENDERSON, AUTHORIZED REPRESENTATIVE OF DAVID L. HENDERSON, DECEASED, PETITIONER v. ERIC K. SHINESKI, SECRETARY OF VETERANS AFFAIRS",8,0,113,SSotomayor,1
2010-022,"DORETHA H. HENDERSON, AUTHORIZED REPRESENTATIVE OF DAVID L. HENDERSON, DECEASED, PETITIONER v. ERIC K. SHINESKI, SECRETARY OF VETERANS AFFAIRS",8,0,114,EKagan,
2010-023,"ALBERT SNYDER, PETITIONER v. FRED W. PHELPS, SR., et al.",8,1,111,JGRoberts,1
