caseID,term,chief,caseName,majVotes,minVotes,justiceID,direction,majority
2010-011,2010,Roberts,"GARY SWARTHOUT, WARDEN, PETITIONER v. DAMON COOKE.",9,0,106,1,2
2010-011,2010,Roberts,"GARY SWARTHOUT, WARDEN, PETITIONER v. DAMON COOKE.",9,0,108,1,2
2010-011,2010,Roberts,"GARY SWARTHOUT, WARDEN, PETITIONER v. DAMON COOKE.",9,0,109,1,2
2010-011,2010,Roberts,"GARY SWARTHOUT, WARDEN, PETITIONER v. DAMON COOKE.",9,0,110,1,2
2010-011,2010,Roberts,"GARY SWARTHOUT, WARDEN, PETITIONER v. DAMON COOKE.",9,0,112,1,2
2010-011,2010,Roberts,"GARY SWARTHOUT, WARDEN, PETITIONER v. DAMON COOKE.",9,0,113,1,2
2010-011,2010,Roberts,"GARY SWARTHOUT, WARDEN, PETITIONER v. DAMON COOKE.",9,0,114,1,2
2010-011,2010,Roberts,"GARY SWARTHOUT, WARDEN, PETITIONER v. DAMON COOKE.",9,0,111,1,2
2010-011,2010,Roberts,"GARY SWARTHOUT, WARDEN, PETITIONER v. DAMON COOKE.",9,0,105,1,2
2010-011,2010,Roberts,"GARY SWARTHOUT, WARDEN, PETITIONER v. DAMON COOKE.",9,0,106,1,2
2010-011,2010,Roberts,"GARY SWARTHOUT, WARDEN, PETITIONER v. DAMON COOKE.",9,0,108,1,2
2010-011,2010,Roberts,"GARY SWARTHOUT, WARDEN, PETITIONER v. DAMON COOKE.",9,0,109,1,2
2010-011,2010,Roberts,"GARY SWARTHOUT, WARDEN, PETITIONER v. DAMON COOKE.",9,0,110,1,2
2010-011,2010,Roberts,"GARY SWARTHOUT, WARDEN, PETITIONER v. DAMON COOKE.",9,0,112,1,2
2010-011,2010,Roberts,"GARY SWARTHOUT, WARDEN, PETITIONER v. DAMON COOKE.",9,0,113,1,2
2010-011,2010,Roberts,"GARY SWARTHOUT, WARDEN, PETITIONER v. DAMON COOKE.",9,0,114,1,2
2010-012,2010,Roberts,"CHASE BANK USA, NA., PETITIONER v. JAMES A. MCCOY, INDIVIDUALLY AND ON BEHALF OF ALL OTHERS SIMILARLY SITUATED",9,0,111,1,2
2010-012,2010,Roberts,"CHASE BANK USA, NA., PETITIONER v. JAMES A. MCCOY, INDIVIDUALLY AND ON BEHALF OF ALL OTHERS SIMILARLY SITUATED",9,0,105,1,2
2010-012,2010,Roberts,"CHASE BANK USA, NA., PETITIONER v. JAMES A. MCCOY, INDIVIDUALLY AND ON BEHALF OF ALL OTHERS SIMILARLY SITUATED",9,0,106,1,2
2010-012,2010,Roberts,"CHASE BANK USA, NA., PETITIONER v. JAMES A. MCCOY, INDIVIDUALLY AND ON BEHALF OF ALL OTHERS SIMILARLY SITUATED",9,0,108,1,2
2010-012,2010,Roberts,"CHASE BANK USA, NA., PETITIONER v. JAMES A. MCCOY, INDIVIDUALLY AND ON BEHALF OF ALL OTHERS SIMILARLY SITUATED",9,0,109,1,2
2010-012,2010,Roberts,"CHASE BANK USA, NA., PETITIONER v. JAMES A. MCCOY, INDIVIDUALLY AND ON BEHALF OF ALL OTHERS SIMILARLY SITUATED",9,0,110,1,2
2010-012,2010,Roberts,"CHASE BANK USA, NA., PETITIONER v. JAMES A. MCCOY, INDIVIDUALLY AND ON BEHALF OF ALL OTHERS SIMILARLY SITUATED",9,0,112,1,2
2010-012,2010,Roberts,"CHASE BANK USA, NA., PETITIONER v. JAMES A. MCCOY, INDIVIDUALLY AND ON BEHALF OF ALL OTHERS SIMILARLY SITUATED",9,0,113,1,2
2010-012,2010,Roberts,"CHASE BANK USA, NA., PETITIONER v. JAMES A. MCCOY, INDIVIDUALLY AND ON BEHALF OF ALL OTHERS SIMILARLY SITUATED",9,0,114,1,2
2010-013,2010,Roberts,"MICHELLE ORITZ, PETITIONER v. PAULA JORDAN et al.",9,0,111,2,2
2010-013,2010,Roberts,"MICHELLE ORITZ, PETITIONER v. PAULA JORDAN et al.",9,0,105,2,2
2010-013,2010,Roberts,"MICHELLE ORITZ, PETITIONER v. PAULA JORDAN et al.",9,0,106,2,2
2010-013,2010,Roberts,"MICHELLE ORITZ, PETITIONER v. PAULA JORDAN et al.",9,0,108,2,2
2010-013,2010,Roberts,"MICHELLE ORITZ, PETITIONER v. PAULA JORDAN et al.",9,0,109,2,2
2010-013,2010,Roberts,"MICHELLE ORITZ, PETITIONER v. PAULA JORDAN et al.",9,0,110,2,2
2010-013,2010,Roberts,"MICHELLE ORITZ, PETITIONER v. PAULA JORDAN et al.",9,0,112,2,2
2010-013,2010,Roberts,"MICHELLE ORITZ, PETITIONER v. PAULA JORDAN et al.",9,0,113,2,2
2010-013,2010,Roberts,"MICHELLE ORITZ, PETITIONER v. PAULA JORDAN et al.",9,0,114,2,2
2010-013,2010,Roberts,"MICHELLE ORITZ, PETITIONER v. PAULA JORDAN et al.",9,0,111,1,2
2010-013,2010,Roberts,"MICHELLE ORITZ, PETITIONER v. PAULA JORDAN et al.",9,0,105,1,2
2010-013,2010,Roberts,"MICHELLE ORITZ, PETITIONER v. PAULA JORDAN et al.",9,0,106,1,2
2010-013,2010,Roberts,"MICHELLE ORITZ, PETITIONER v. PAULA JORDAN et al.",9,0,108,1,2
2010-013,2010,Roberts,"MICHELLE ORITZ, PETITIONER v. PAULA JORDAN et al.",9,0,109,1,2
2010-013,2010,Roberts,"MICHELLE ORITZ, PETITIONER v. PAULA JORDAN et al.",9,0,110,1,2
2010-013,2010,Roberts,"MICHELLE ORITZ, PETITIONER v. PAULA JORDAN et al.",9,0,112,1,2
2010-013,2010,Roberts,"MICHELLE ORITZ, PETITIONER v. PAULA JORDAN et al.",9,0,113,1,2
2010-013,2010,Roberts,"MICHELLE ORITZ, PETITIONER v. PAULA JORDAN et al.",9,0,114,1,2
2010-014,2010,Roberts,"ERIC L. THOMPSON, PETITIONER v. NORTH AMERICAN STAINLESS, LP",8,0,111,2,2
2010-014,2010,Roberts,"ERIC L. THOMPSON, PETITIONER v. NORTH AMERICAN STAINLESS, LP",8,0,105,2,2
2010-014,2010,Roberts,"ERIC L. THOMPSON, PETITIONER v. NORTH AMERICAN STAINLESS, LP",8,0,106,2,2
2010-014,2010,Roberts,"ERIC L. THOMPSON, PETITIONER v. NORTH AMERICAN STAINLESS, LP",8,0,108,2,2
2010-014,2010,Roberts,"ERIC L. THOMPSON, PETITIONER v. NORTH AMERICAN STAINLESS, LP",8,0,109,2,2
2010-014,2010,Roberts,"ERIC L. THOMPSON, PETITIONER v. NORTH AMERICAN STAINLESS, LP",8,0,110,2,2
2010-014,2010,Roberts,"ERIC L. THOMPSON, PETITIONER v. NORTH AMERICAN STAINLESS, LP",8,0,112,2,2
2010-014,2010,Roberts,"ERIC L. THOMPSON, PETITIONER v. NORTH AMERICAN STAINLESS, LP",8,0,113,2,2
2010-014,2010,Roberts,"ERIC L. THOMPSON, PETITIONER v. NORTH AMERICAN STAINLESS, LP",8,0,114,,
2010-015,2010,Roberts,"RUSSEL BRUESEWITZ, et al. PETITIONERS v. WYETH LLC, FKA WYETH, INC., FKA WYETH LABORATORIES, et al.",6,2,111,2,2
2010-015,2010,Roberts,"RUSSEL BRUESEWITZ, et al. PETITIONERS v. WYETH LLC, FKA WYETH, INC., FKA WYETH LABORATORIES, et al.",6,2,105,2,2
2010-015,2010,Roberts,"RUSSEL BRUESEWITZ, et al. PETITIONERS v. WYETH LLC, FKA WYETH, INC., FKA WYETH LABORATORIES, et al.",6,2,106,2,2
2010-015,2010,Roberts,"RUSSEL BRUESEWITZ, et al. PETITIONERS v. WYETH LLC, FKA WYETH, INC., FKA WYETH LABORATORIES, et al.",6,2,108,2,2
2010-015,2010,Roberts,"RUSSEL BRUESEWITZ, et al. PETITIONERS v. WYETH LLC, FKA WYETH, INC., FKA WYETH LABORATORIES, et al.",6,2,109,1,1
2010-015,2010,Roberts,"RUSSEL BRUESEWITZ, et al. PETITIONERS v. WYETH LLC, FKA WYETH, INC., FKA WYETH LABORATORIES, et al.",6,2,110,2,2
2010-015,2010,Roberts,"RUSSEL BRUESEWITZ, et al. PETITIONERS v. WYETH LLC, FKA WYETH, INC., FKA WYETH LABORATORIES, et al.",6,2,112,2,2
2010-015,2010,Roberts,"RUSSEL BRUESEWITZ, et al. PETITIONERS v. WYETH LLC, FKA WYETH, INC., FKA WYETH LABORATORIES, et al.",6,2,113,1,1
2010-015,2010,Roberts,"RUSSEL BRUESEWITZ, et al. PETITIONERS v. WYETH LLC, FKA WYETH, INC., FKA WYETH LABORATORIES, et al.",6,2,114,,
2010-015,2010,Roberts,"RUSSEL BRUESEWITZ, et al. PETITIONERS v. WYETH LLC, FKA WYETH, INC., FKA WYETH LABORATORIES, et al.",6,2,111,1,2
2010-015,2010,Roberts,"RUSSEL BRUESEWITZ, et al. PETITIONERS v. WYETH LLC, FKA WYETH, INC., FKA WYETH LABORATORIES, et al.",6,2,105,1,2
2010-015,2010,Roberts,"RUSSEL BRUESEWITZ, et al. PETITIONERS v. WYETH LLC, FKA WYETH, INC., FKA WYETH LABORATORIES, et al.",6,2,106,1,2
2010-015,2010,Roberts,"RUSSEL BRUESEWITZ, et al. PETITIONERS v. WYETH LLC, FKA WYETH, INC., FKA WYETH LABORATORIES, et al.",6,2,108,1,2
2010-015,2010,Roberts,"RUSSEL BRUESEWITZ, et al. PETITIONERS v. WYETH LLC, FKA WYETH, INC., FKA WYETH LABORATORIES, et al.",6,2,109,2,1
2010-015,2010,Roberts,"RUSSEL BRUESEWITZ, et al. PETITIONERS v. WYETH LLC, FKA WYETH, INC., FKA WYETH LABORATORIES, et al.",6,2,110,1,2
2010-015,2010,Roberts,"RUSSEL BRUESEWITZ, et al. PETITIONERS v. WYETH LLC, FKA WYETH, INC., FKA WYETH LABORATORIES, et al.",6,2,112,1,2
2010-015,2010,Roberts,"RUSSEL BRUESEWITZ, et al. PETITIONERS v. WYETH LLC, FKA WYETH, INC., FKA WYETH LABORATORIES, et al.",6,2,113,2,1
2010-015,2010,Roberts,"RUSSEL BRUESEWITZ, et al. PETITIONERS v. WYETH LLC, FKA WYETH, INC., FKA WYETH LABORATORIES, et al.",6,2,114,,
2010-016,2010,Roberts,"CSX TRANSPORTATION, INC., PETITIONER v. ALABAMA DEPARTMENT OF REVENUE et al.",7,2,111,1,2
2010-016,2010,Roberts,"CSX TRANSPORTATION, INC., PETITIONER v. ALABAMA DEPARTMENT OF REVENUE et al.",7,2,105,1,2
2010-016,2010,Roberts,"CSX TRANSPORTATION, INC., PETITIONER v. ALABAMA DEPARTMENT OF REVENUE et al.",7,2,106,1,2
2010-016,2010,Roberts,"CSX TRANSPORTATION, INC., PETITIONER v. ALABAMA DEPARTMENT OF REVENUE et al.",7,2,108,2,1
2010-016,2010,Roberts,"CSX TRANSPORTATION, INC., PETITIONER v. ALABAMA DEPARTMENT OF REVENUE et al.",7,2,109,2,1
2010-016,2010,Roberts,"CSX TRANSPORTATION, INC., PETITIONER v. ALABAMA DEPARTMENT OF REVENUE et al.",7,2,110,1,2
2010-016,2010,Roberts,"CSX TRANSPORTATION, INC., PETITIONER v. ALABAMA DEPARTMENT OF REVENUE et al.",7,2,112,1,2
2010-016,2010,Roberts,"CSX TRANSPORTATION, INC., PETITIONER v. ALABAMA DEPARTMENT OF REVENUE et al.",7,2,113,1,2
2010-016,2010,Roberts,"CSX TRANSPORTATION, INC., PETITIONER v. ALABAMA DEPARTMENT OF REVENUE et al.",7,2,114,1,2
2010-017,2010,Roberts,"JAMES WALKER, WARDEN, et al., PETITIONERS v. CHARLES W. MARTIN",9,0,111,1,2
2010-017,2010,Roberts,"JAMES WALKER, WARDEN, et al., PETITIONERS v. CHARLES W. MARTIN",9,0,105,1,2
2010-017,2010,Roberts,"JAMES WALKER, WARDEN, et al., PETITIONERS v. CHARLES W. MARTIN",9,0,106,1,2
2010-017,2010,Roberts,"JAMES WALKER, WARDEN, et al., PETITIONERS v. CHARLES W. MARTIN",9,0,108,1,2
2010-017,2010,Roberts,"JAMES WALKER, WARDEN, et al., PETITIONERS v. CHARLES W. MARTIN",9,0,109,1,2
2010-017,2010,Roberts,"JAMES WALKER, WARDEN, et al., PETITIONERS v. CHARLES W. MARTIN",9,0,110,1,2
2010-017,2010,Roberts,"JAMES WALKER, WARDEN, et al., PETITIONERS v. CHARLES W. MARTIN",9,0,112,1,2
2010-017,2010,Roberts,"JAMES WALKER, WARDEN, et al., PETITIONERS v. CHARLES W. MARTIN",9,0,113,1,2
2010-017,2010,Roberts,"JAMES WALKER, WARDEN, et al., PETITIONERS v. CHARLES W. MARTIN",9,0,114,1,2
2010-018,2010,Roberts,"DELBERT WILLIAMSON, et al., PETITIONERS v. MAZDA MOTOR OF AMERICA, INC., et al.",8,0,111,1,2
2010-018,2010,Roberts,"DELBERT WILLIAMSON, et al., PETITIONERS v. MAZDA MOTOR OF AMERICA, INC., et al.",8,0,105,1,2
2010-018,2010,Roberts,"DELBERT WILLIAMSON, et al., PETITIONERS v. MAZDA MOTOR OF AMERICA, INC., et al.",8,0,106,1,2
2010-018,2010,Roberts,"DELBERT WILLIAMSON, et al., PETITIONERS v. MAZDA MOTOR OF AMERICA, INC., et al.",8,0,108,1,2
2010-018,2010,Roberts,"DELBERT WILLIAMSON, et al., PETITIONERS v. MAZDA MOTOR OF AMERICA, INC., et al.",8,0,109,1,2
2010-018,2010,Roberts,"DELBERT WILLIAMSON, et al., PETITIONERS v. MAZDA MOTOR OF AMERICA, INC., et al.",8,0,110,1,2
